id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,comment_text_clean,toxicity_score
sample_35,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_36,Your argument makes no sense,1,0,0,0,0,0,your argument makes no sense,1
sample_37,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_38,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_39,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_40,Your argument makes no sense,1,0,1,0,0,0,your argument makes no sense,1
sample_41,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_42,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_43,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_44,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_45,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_46,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_47,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_48,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_49,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_50,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_51,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_52,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_53,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_54,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_55,I strongly disagree with your opinion,1,0,0,0,0,0,i strongly disagree with your opinion,1
sample_56,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_57,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_58,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_59,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_60,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_61,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_62,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_63,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_64,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_65,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_66,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_67,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_68,I strongly disagree with your opinion,1,0,1,0,1,0,i strongly disagree with your opinion,1
sample_69,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_70,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_71,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_72,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_73,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_74,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_75,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_76,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_77,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_78,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_79,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_80,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_81,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_82,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_83,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_84,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_85,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_86,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_87,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_88,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_89,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_90,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_91,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_92,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_93,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_94,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_95,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_96,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_97,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_98,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_99,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_100,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_101,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_102,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_103,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_104,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_105,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_106,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_107,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_108,This is completely unacceptable behavior,1,0,1,0,0,0,this is completely unacceptable behavior,1
sample_109,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_110,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_111,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_112,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_113,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_114,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_115,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_116,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_117,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_118,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_119,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_120,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_121,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_122,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_123,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_124,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_125,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_126,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_127,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_128,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_129,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_130,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_131,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_132,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_133,This content is inappropriate,1,0,0,0,0,0,this content is inappropriate,1
sample_134,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_135,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_136,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_137,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_138,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_139,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_140,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_141,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_142,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_143,Your argument makes no sense,1,0,0,0,0,0,your argument makes no sense,1
sample_144,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_145,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_146,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_147,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_148,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_149,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_150,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_151,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_152,This is completely unacceptable behavior,1,0,1,0,0,0,this is completely unacceptable behavior,1
sample_153,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_154,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_155,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_156,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_157,You're absolutely wrong about this,1,0,0,0,1,0,youre absolutely wrong about this,1
sample_158,You're absolutely wrong about this,1,0,0,1,0,0,youre absolutely wrong about this,1
sample_159,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_160,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_161,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_162,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_163,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_164,You're absolutely wrong about this,1,0,0,0,1,0,youre absolutely wrong about this,1
sample_165,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_166,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_167,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_168,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_169,This is completely unacceptable behavior,1,1,0,0,1,0,this is completely unacceptable behavior,1
sample_170,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_171,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_172,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_173,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_174,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_175,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_176,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_177,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_178,Your argument makes no sense,1,1,0,0,1,1,your argument makes no sense,1
sample_179,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_180,This content is inappropriate,1,0,0,0,1,0,this content is inappropriate,1
sample_181,You're absolutely wrong about this,1,1,1,0,1,0,youre absolutely wrong about this,1
sample_182,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_183,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_184,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_185,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_186,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_187,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_188,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_189,I strongly disagree with your opinion,1,0,1,0,0,0,i strongly disagree with your opinion,1
sample_190,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_191,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_192,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_193,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_194,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_195,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_196,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_197,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_198,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_199,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_200,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_201,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_202,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_203,Your argument makes no sense,1,0,1,0,1,0,your argument makes no sense,1
sample_204,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_205,This is completely unacceptable behavior,1,0,0,1,1,0,this is completely unacceptable behavior,1
sample_206,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_207,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_208,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_209,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_210,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_211,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_212,This is completely unacceptable behavior,1,0,0,0,0,0,this is completely unacceptable behavior,1
sample_213,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_214,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_215,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_216,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_217,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_218,You're absolutely wrong about this,1,0,0,0,1,0,youre absolutely wrong about this,1
sample_219,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_220,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_221,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_222,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_223,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_224,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_225,This content is inappropriate,1,1,1,1,0,0,this content is inappropriate,1
sample_226,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_227,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_228,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_229,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_230,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_231,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_232,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_233,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_234,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_235,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_236,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_237,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_238,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_239,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_240,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_241,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_242,You're absolutely wrong about this,1,0,0,0,0,0,youre absolutely wrong about this,1
sample_243,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_244,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_245,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_246,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_247,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_248,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_249,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_250,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_251,This is completely unacceptable behavior,1,0,0,0,1,0,this is completely unacceptable behavior,1
sample_252,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_253,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_254,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_255,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_256,Your argument makes no sense,1,0,0,0,0,0,your argument makes no sense,1
sample_257,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_258,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_259,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_260,This is completely unacceptable behavior,1,0,0,0,0,0,this is completely unacceptable behavior,1
sample_261,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_262,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_263,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_264,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_265,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_266,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_267,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_268,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_269,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_270,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_271,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_272,This is completely unacceptable behavior,1,1,0,0,0,0,this is completely unacceptable behavior,1
sample_273,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_274,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_275,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_276,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_277,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_278,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_279,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_280,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_281,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_282,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_283,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_284,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_285,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_286,I strongly disagree with your opinion,1,0,0,1,1,0,i strongly disagree with your opinion,1
sample_287,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_288,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_289,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_290,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_291,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_292,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_293,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_294,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_295,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_296,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_297,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_298,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_299,You're absolutely wrong about this,1,0,0,0,0,0,youre absolutely wrong about this,1
sample_300,Your argument makes no sense,1,0,0,0,1,0,your argument makes no sense,1
sample_301,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_302,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_303,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_304,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_305,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_306,This content is inappropriate,1,1,0,0,0,0,this content is inappropriate,1
sample_307,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_308,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_309,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_310,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_311,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_312,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_313,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_314,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_315,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_316,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_317,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_318,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_319,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_320,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_321,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_322,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_323,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_324,You're absolutely wrong about this,1,0,1,0,1,0,youre absolutely wrong about this,1
sample_325,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_326,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_327,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_328,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_329,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_330,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_331,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_332,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_333,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_334,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_335,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_336,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_337,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_338,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
